Chile_AcousSC,0,1,2,3,4,5,6,7,8,9,10,11,12
2001,0,7410,571630,233333,421274,181543,163118,84118,97608,46685,76915,19843,33415
2002,0,25153,578674,460111,276781,150950,217727,83310,57218,13321, ,5346,2360
2003,0,24117,533583,696464,606105,264033,177182,113609,82781,39739,55804,7429,39144
2004,0,12936,267006,499722,820676,741707,529989,556838,338795,109996,34686,876,18357
2005,0,26635,326879,643903,1511927,773600,301138,179608,133236,108237,76038,29490,1480
2006,0,0,2793,183485,545815,608226,192609,166905,137495,75261,43104,15816,10480
2007,0,0,0,43481,290404,463860,595946,616827,524358,348199,104172,95166,58087
2008,0,0,0,0,45071,137419,119674,72104,58654,29940,20484,15838,20654
2009,0,0,0,0,0,3132,125881,112565,89620,104107,42483,27684,29171
2010,0,0,68,64,193,849,2408,5730,8704,2540,1957,962,549
2011,0,0,0,0,0,13851,18653,54469,28649,6038,2673,1610,1264
2012,0,0,82,200,1911,3538,6932,12488,1861,1121,124,0,0
2017,0,0,102542,70932,74213,69378,71736,32471,5806,782,2103,958,0
2020,0,0,0,0,10862,149761,247989,334237,333594,277433,103862,66714,18313