year_jm07,cpue_jm07,sd_jm07,year_jm06,cpue_jm06,cpue_assessment,cpue_nocreep,year_assessment,year_nocreep,year_jm12,cpue_jm12,sd_jm12
1994,3742.5508,507.027,1983,0.8374,0.832510731,0.8374,1983,1983,1994,14691,3232.02
1995,3839.0742,481.1006,1984,0.7701,0.773283485,0.7701,1984,1984,1995,16061,2569.76
1996,2425.5686,480.5729,1985,0.6732,0.683086036,0.6732,1985,1985,1996,18052,2707.8
1997,2679.9637,485.0797,1986,0.5665,0.580729054,0.5665,1986,1986,1997,15950,2711.5
1998,2894.117,476.1667,1987,0.6659,0.689338831,0.6659,1987,1987,1998,17346,2601.9
1999,2899.1883,474.3267,1988,0.5848,0.61152502,0.5848,1988,1988,1999,16714,2674.24
2000,3506.8681,466.7222,1989,0.5692,0.601458104,0.5692,1989,1989,2000,20419,2654.47
2001,3752.5789,468.4355,1990,0.4873,0.520419642,0.4873,1990,1990,2001,23604,3304.56
2002,2457.5533,455.8231,1991,0.5372,0.579729964,0.5372,1991,1991,2002,20664,2479.68
2003,2622.0365,453.2317,1992,0.4918,0.536299216,0.4918,1992,1992,2003,22184,2440.24
2004,3019.0727,445.8632,1993,0.4406,0.485524366,0.4406,1993,1993,2004,25278,2527.8
2005,3207.5335,447.2546,1994,0.4735,0.52709074,0.4735,1994,1994,2005,28124,2812.4
2006,4712.8398,490.393,1995,0.4228,0.475598293,0.4228,1995,1995,2006,30017,5102.89
2007,1998.617,470.6463,1996,0.418,0.474371378,0.418,1996,1996,2007,20162,2822.68
2008,1278.2535,457.8156,1997,0.3427,0.392895903,0.3427,1997,1997,2008,18371,1469.68
2009,1245.8802,447.9437,1998,0.1842,0.337048687,0.2909,1998,1998,2009,17369,1215.83
2010,1047.1464,470.4731,1999,0.182,0.347029878,0.2963,1999,1999,2010,15909,1431.81
2011,551.5757,471.9372,2000,0.1861,0.339039982,0.2862,2000,2000,2011,8736,873.6
2012,1538.977,467.1541,2001,0.2163,0.407859428,0.3412,2001,2001,2012,14750,1917.5
2013,1564.1918,476.7622,2002,0.1823,0.356820016,0.2949,2002,2002,2013,14839,2077.46
2014,1041.801,471.2559,2003,0.1036,0.317826067,0.2602,2003,2003,2014,11672,1634.08
2015,836.5752,463.2153,2004,0.1193,0.346714105,0.2811,2004,2004,2015,11938,1313.18
2016,1502.378,468.4124,2005,0.1039,0.318601181,0.255,2005,2005,2016,16390,1966.8
2017,1437.4467,480.0685,2006,0.1737,0.349003607,0.2765,2006,2006,2017,15071,2260.65
2018,1734.5931,479.96,2007,0.1275,0.2639985,0.207,2007,2007,2018,14354,2153.1
2019,3445.0799,475.0074,2008,0.0821,0.175226315,0.136,2008,2008,2019,26411,3961.65
2020,2607.1396,477.1345,2009,0.0668,0.146732633,0.1129,2009,2009,2020,22707,3406.05
2021,2856.5436,484.6244,2010,0.0503,0.114064158,0.0868,2010,2010,2021,22845,3655.2
2022,3297.6593,491.5728,2011,0.0273,0.063785181,0.0481,2011,2011,2022,26165,5233
2023,3396.5595,494.284,2012,0.0818,0.196292753,0.1469,2012,2012,,,
,,,2013,0.0702,0.173813071,0.1288,2013,2013,,,
,,,2014,0.0543,0.138893127,0.1016,2014,2014,,,
,,,2015,0.0437,0.115263537,0.0834,2015,2015,,,
,,,2016,0.0769,0.20910165,0.1498,2016,2016,,,
,,,2017,0.0898,0.25112097,0.1785,2017,2017,,,
,,,2018,0.1057,0.163771149,0.1794,2018,2018,,,
,,,2019,0.1374,0.282631629,0.1972,2019,2019,,,
,,,2020,0.2576,0.372554727,0.2576,2020,2020,,,
,,,2021,0.2713,0.396738389,0.2713,2021,2021,,,
,,,2022,0.3234,0.408788973,0.3234,2022,2022,,,
,,,,,0.418509888,,2023,,,,