Year,Mean,Upp,Low
1994,43.555,48.255,38.855
1995,39.136,43.395,34.877
1996,26.502,30.74,22.263
1997,31.442,35.74,27.143
1998,34.524,38.664,30.384
1999,34.912,39.019,30.806
2000,42.094,46.068,38.12
2001,43.987,47.966,40.009
2002,29.379,33.135,25.623
2003,30.615,34.332,26.897
2004,35.898,39.472,32.323
2005,38.099,41.703,34.495
2006,53.849,58.25,49.447
2007,23.656,27.702,19.61
2008,15.208,19.038,11.379
2009,14.597,18.242,10.951
2010,12.014,16.08,7.948
2011,6.522,10.611,2.433
2012,17.336,21.313,13.358
2013,17.75,21.903,13.597
2014,11.922,15.988,7.856
2015,9.437,13.366,5.508
2016,16.856,20.877,12.836
2017,16.632,20.851,12.414
2018,20.769,24.982,16.556
2019,39.007,43.121,34.892
2020,31.376,35.543,27.209
2021,34.031,38.321,29.74
2022,38.343,42.618,34.069
2023,39.527,43.859,35.196
2024,35.732,40.237,31.227